INSTANCE,NR_SEQUENCES,MEAN_SEQ_LENGTH,NR_CLUSTERS_BEFORE_MINCLUSTERS,NR_CLUSTERS_MINCLUSTERS,TIME_TRACING_MINCLUSTERS,NR_SHARED_HOMOLOGIES_MINCLUSTERS,NR_HOMOLOGIES_REF,NR_HOMOLOGIES_MINCLUSTERS,NR_ALIGNED_COLS_REF,NR_ALIGNED_COLS_MINCLUSTERS,SPFN_MINCLUSTERS,SPFP_MINCLUSTERS,NR_CLUSTERS_BEFORE_CP,NR_CLUSTERS_CP,TIME_TRACING_CP,NR_SHARED_HOMOLOGIES_CP,NR_HOMOLOGIES_CP,NR_ALIGNED_COLS_CP,SPFN_CP,SPFP_CP
ROSE-1000S2-R13-rose.aln.true.fasta,1000,197.676,207,208,0.02219104766845703,88981413,97890041,96949317,255,269,0.09100647940274131,0.08218628296267416,207,208,289.5991837978363,88981413,96949317,269,0.09100647940274131,0.08218628296267416
ROSE-1000L3-R12-rose.aln.true.fasta,1000,42.256,42,42,0.024753570556640625,8016013,20784353,18255448,163,316,0.6143246316110971,0.5608974920801725,42,42,2.8518707752227783,8016013,18255448,316,0.6143246316110971,0.5608974920801725
ROSE-1000S3-R14-rose.aln.true.fasta,1000,188.246,189,189,0.018016815185546875,91016755,93675813,93627726,236,245,0.02838574777034497,0.02788672876664766,189,189,54.89754843711853,91016755,93627726,245,0.02838574777034497,0.02788672876664766
ROSE-1000M4-R13-rose.aln.true.fasta,1000,119.247,133,141,0.012508869171142578,57109053,59084626,58333986,195,196,0.03343632910530736,0.02099861648405099,133,141,18886.749185800552,57109053,58333986,196,0.03343632910530736,0.02099861648405099
ROSE-1000S3-R7-rose.aln.true.fasta,1000,187.375,187,187,0.026653528213500977,85955187,93195294,92758469,251,342,0.0776874742194601,0.07334405228270857,187,187,69.61482739448547,85955187,92758469,342,0.0776874742194601,0.07334405228270857
ROSE-1000M4-R7-rose.aln.true.fasta,1000,107.099,116,123,0.012421131134033203,50715742,52822079,52825152,179,183,0.03987607151925998,0.03993192485276709,116,123,80.43721508979797,50715742,52825152,183,0.03987607151925998,0.03993192485276709
ROSE-1000S2-R5-rose.aln.true.fasta,1000,201.13,201,201,0.022270917892456055,91425337,100166869,99669056,250,381,0.08726969393442852,0.0827109168165494,201,201,61.5953049659729,91425337,99669056,381,0.08726969393442852,0.0827109168165494
ROSE-1000S3-R17-rose.aln.true.fasta,1000,177.877,178,178,0.023843050003051758,77346288,88384722,88106337,251,280,0.12489074752082152,0.12212571043556153,178,178,64.56065893173218,77346288,88106337,280,0.12489074752082152,0.12212571043556153
balibase-RV100_BBA0081-model-true.fasta,353,108.20113314447592,132,143,0.00925898551940918,4614053,5855004,5908091,265,324,0.21194707979704197,0.2190281090795656,132,143,19294.01556968689,4603938,5890793,324,0.2136746618789671,0.2184519130106931
ROSE-1000L1-R15-rose.aln.true.fasta,1000,70.427,70,70,0.015169143676757812,24569172,34849362,33601499,152,402,0.2949893315120088,0.26880726362832796,70,70,7.528585433959961,24569172,33601499,402,0.2949893315120088,0.26880726362832796
ROSE-1000L1-R5-rose.aln.true.fasta,1000,73.33,73,73,0.02717733383178711,21082866,36277910,34510505,206,419,0.41885114109385024,0.3890884529217987,73,73,8.907289743423462,21082866,34510505,419,0.41885114109385024,0.3890884529217987
ROSE-1000M2-R10-rose.aln.true.fasta,1000,62.638,62,62,0.02404928207397461,21577334,30811869,29860590,125,365,0.29970707067461566,0.27739759998044244,62,62,6.362328290939331,21577334,29860590,365,0.29970707067461566,0.27739759998044244
ROSE-1000M2-R5-rose.aln.true.fasta,1000,55.024,54,54,0.026919126510620117,13195378,26711930,24670426,142,433,0.5060118082070446,0.4651337597494263,54,54,6.396500825881958,13195378,24670426,433,0.5060118082070446,0.4651337597494263
ROSE-1000L1-R12-rose.aln.true.fasta,1000,42.469,41,44,0.02893829345703125,9601245,20355673,18907096,122,400,0.5283258382073637,0.4921882768247434,41,44,9.302812337875366,9601245,18907096,400,0.5283258382073637,0.4921882768247434
ROSE-1000S2-R18-rose.aln.true.fasta,1000,184.315,184,185,0.02472996711730957,70714598,91782308,89799087,231,461,0.22953998934086517,0.21252430996319593,184,185,53.60223579406738,70714598,89799087,461,0.22953998934086517,0.21252430996319593
ROSE-1000M3-R17-rose.aln.true.fasta,1000,126.735,130,131,0.012420177459716797,60792825,62740889,62696169,211,214,0.03104935283910304,0.03035821853804177,130,131,25.472096920013428,60734793,62638816,214,0.031974299885996205,0.03039685488308086
