name,method,trace_time,run_time,memory,SPFN,SPFP
RNASim-1000-R19-true_align,minclusters,1.3776113986968994,4810.454688549042,5895.9,0.09733947339055216,0.09580519422137967
RNASim-1000-R1-true_align,minclusters,1.4106509685516357,4377.4763650894165,10608.6,0.09575418434695493,0.09382520308570275
RNASim-1000-R2-true_align,minclusters,1.6734633445739746,4771.098672389984,10916.0,0.09994242783513474,0.09775032447230414
RNASim-1000-R3-true_align,minclusters,1.3136131763458252,4308.593389749527,10620.7,0.10167892589810823,0.0994918423267942
RNASim-1000-R4-true_align,minclusters,1.4584712982177734,4339.533721923828,10569.6,0.10107363772730849,0.09872472036409907
RNASim-1000-R5-true_align,minclusters,1.3949899673461914,4294.687577962875,10667.8,0.09002214150489529,0.08645259029738683
RNASim-1000-R6-true_align,minclusters,1.4442577362060547,4433.691642522812,10674.2,0.0944783605761309,0.09193060177390644
RNASim-1000-R7-true_align,minclusters,1.3356389999389648,4495.589220523834,8631.7,0.09897204328044573,0.09682928449063166
RNASim-1000-R8-true_align,minclusters,3.129725217819214,4431.136693477631,10805.9,0.09673930185658375,0.0939843204879095
RNASim-1000-R9-true_align,minclusters,1.2328588962554932,4413.469044685364,10561.8,0.0957906084194392,0.09392812025778963
Gutell-16S.3-R0-cleaned.alignment,minclusters,346.0279104709625,28921.746123075485,1852.1,0.08342088000694492,0.15241999871849943
Gutell-16S.M-R0-cleaned.alignment,minclusters,388.11996507644653,10718.778431415558,3207.7,0.1780225041967709,0.1781828141150994
Gutell-16S.T-R0-cleaned.alignment,minclusters,3061.096246957779,75630.13818478584,6927.7,0.1505929596946619,0.1682005959508508
Gutell-16S.3-R0-cleaned.alignment,minclusters_reimplemented,6908.751212835312,34812.37082362175,12973.2,0.9182853047793814,0.12146956999449487
Gutell-16S.M-R0-cleaned.alignment,minclusters_reimplemented,2306.375452518463,13474.109467029572,12904.9,0.900675560895108,0.10653002536151968
Gutell-16S.T-R0-cleaned.alignment,minclusters_reimplemented,7868.757390022278,72752.36252808571,13287.8,0.9218049250309814,0.16911022313662005
Gutell-16S.B.ALL-R0-cleaned.alignment,minclusters,398.435583114624,26062.442635774612,13643.5,0.04384453808163291,0.04361916113133413
RNASim-10000-R0-true_align,minclusters,110.97488808631897,9417.747559785843,13714.9,0.08685069959310288,0.082232487609043
RNASim-10000-R1-true_align,minclusters,171.20552396774292,9218.12377500534,14300.0,0.08943511884867816,0.0858242568399592
RNASim-10000-R2-true_align,minclusters,343.02323961257935,9200.77919125557,14239.1,0.08825014427783784,0.08446503467042121
RNASim-10000-R3-true_align,minclusters,257.5938310623169,9366.706293582916,13704.3,0.08954725684745346,0.08537938289336677
RNASim-10000-R4-true_align,minclusters,188.90139031410217,9573.45341873169,13818.4,0.08892411083615381,0.08335015427618242
RNASim-10000-R5-true_align,minclusters,143.4009017944336,9211.588891267776,10056.2,0.08815458717354696,0.08340886065638764
RNASim-10000-R6-true_align,minclusters,141.28109765052795,9346.031755447388,14014.2,0.08763348209731137,0.08343919981849901
RNASim-10000-R7-true_align,minclusters,130.56448888778687,9471.091844797134,14067.4,0.08818597025937647,0.0841598754011379
RNASim-10000-R8-true_align,minclusters,300.33046770095825,9454.829127311707,13876.8,0.08881536479112473,0.08389099843943015
RNASim-10000-R9-true_align,minclusters,93.64742994308472,9529.42806816101,13950.0,0.08891828052186046,0.0830486620013996
Gutell-16S.B.ALL-R0-cleaned.alignment,minclusters_reimplemented,0,43035.13767170906,53810.6,0.852845263032202,0.04396092743480862
RNASim-10000-R0-true_align,minclusters_reimplemented,142859.9491662979,149710.19401359558,54561.8,0.8137703934635769,0.0579741410637612
RNASim-10000-R1-true_align,minclusters_reimplemented,1340.0923495292664,7735.057304143906,16318.5,0.09489098950361086,0.07686501708854476
RNASim-10000-R2-true_align,minclusters_reimplemented,1379.344687461853,8269.967365264893,21807.4,0.0939096942544303,0.08234887342524211
RNASim-10000-R3-true_align,minclusters_reimplemented,1943.702480316162,8695.218575716019,19411.2,0.09329138985234875,0.08074883098981445
RNASim-10000-R4-true_align,minclusters_reimplemented,1112.3129675388336,7920.086501121521,29300.8,0.09496681638449744,0.08256581697870125
RNASim-10000-R5-true_align,minclusters_reimplemented,42928.960379600525,49621.6618077755,54327.5,0.49024372304729247,0.07808678972371963
RNASim-10000-R6-true_align,minclusters_reimplemented,619.017246723175,7543.840946435928,13921.8,0.08931110489171001,0.08238937212157327
RNASim-10000-R7-true_align,minclusters_reimplemented,1039.0982506275177,7665.2652332782745,16329.7,0.0886846317779959,0.08041491095959874
